,factor,pi,time
0,27000,3.1415556165527665,2021-12-05 03:30:47
1,29791,3.1416262207744947,2021-12-05 03:31:47
2,32768,3.1415621360116797,2021-12-05 03:32:47
3,35937,3.1416204800638963,2021-12-05 03:33:46
4,39304,3.141567210886769,2021-12-05 03:34:47
5,42875,3.1416159772049452,2021-12-05 03:35:47
6,46656,3.1415712201192867,2021-12-05 03:36:47
7,50653,3.141612395757074,2021-12-05 03:37:47
8,54872,3.1415744293588412,2021-12-05 03:38:47
9,59319,3.141609511594793,2021-12-05 03:39:47
10,64000,3.141577028589768,2021-12-05 03:40:46
11,68921,3.141607162955563,2021-12-05 03:41:46
12,74088,3.1415791561272712,2021-12-05 03:42:46
13,79507,3.141605231098648,2021-12-05 03:43:46
14,85184,3.1415809142959636,2021-12-05 03:44:47
15,91125,3.1416036275266306,2021-12-05 03:45:46
16,97336,3.141582379898584,2021-12-05 03:46:47
17,103823,3.1416022853668917,2021-12-05 03:47:47
18,110592,3.1415836113443634,2021-12-05 03:48:46
19,117649,3.1416011534494763,2021-12-05 03:49:47
20,125000,3.141584653589728,2021-12-05 03:50:46
21,132651,3.1416001921684225,2021-12-05 03:51:47
22,140608,3.1415855416188876,2021-12-05 03:52:47
23,148877,3.141599370544006,2021-12-05 03:53:46
24,157464,3.1415863029318056,2021-12-05 03:54:47
25,166375,3.141598664108154,2021-12-05 03:55:47
26,175616,3.141586959347785,2021-12-05 03:56:46
27,185193,3.1415980533619163,2021-12-05 03:57:46
28,195112,3.1415875283283916,2021-12-05 03:58:46
29,205379,3.141597522636734,2021-12-05 03:59:47
30,1,4.0,2021-12-05 04:00:47
31,1,4.0,2021-12-05 04:01:47
32,8,3.017071817071818,2021-12-05 04:02:47
33,27,3.1786170109992202,2021-12-05 04:03:46
34,64,3.125968606973288,2021-12-05 04:04:47
35,125,3.1495925256000317,2021-12-05 04:05:47
36,216,3.1369630487667557,2021-12-05 04:06:47
37,343,3.1445080992896712,2021-12-05 04:07:47
38,512,3.139639530452431,2021-12-05 04:08:47
39,729,3.1429643950569854,2021-12-05 04:09:47
40,1000,3.140592653839794,2021-12-05 04:10:47
41,1331,3.14234396828467,2021-12-05 04:11:47
42,1728,3.141013949934539,2021-12-05 04:12:47
43,2197,3.142047819701858,2021-12-05 04:13:47
44,2744,3.1412282221150143,2021-12-05 04:14:47
45,3375,3.14188894987959,2021-12-05 04:15:47
46,4096,3.141348512968434,2021-12-05 04:16:46
47,4913,3.1417961952119438,2021-12-05 04:17:47
48,5832,3.141421185826989,2021-12-05 04:18:47
49,6859,3.141738447436511,2021-12-05 04:19:47
50,8000,3.141467653590268,2021-12-05 04:20:47
51,9261,3.141700633289284,2021-12-05 04:21:47
52,10648,3.141498739239878,2021-12-05 04:22:47
53,12167,3.141674843118693,2021-12-05 04:23:47
54,13824,3.141520315626915,2021-12-05 04:24:47
55,15625,3.141656653589722,2021-12-05 04:25:47
56,17576,3.1415357578228837,2021-12-05 04:26:47
57,19683,3.1416434588531876,2021-12-05 04:27:47
58,21952,3.141547099653953,2021-12-05 04:28:47
